TIME-IN ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 03,2025",,,,,,,,,,,,,
Ipad Area,0,15,23,31,16,20,27,31,19,40,2,1,225
Relaxation Room,0,3,8,21,26,23,26,22,30,17,19,0,195
Individual Study Room,0,1,12,15,14,16,14,28,12,13,6,0,131
Laptop Area,2,9,31,38,76,61,63,39,47,60,0,0,426
Smart Device Zone,0,0,12,53,39,48,31,53,36,26,0,0,298
TOTAL,14,71,156,238,286,266,271,259,269,303,49,41,2223
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 21,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,2,22,67,108,130,132,128,109,104,105,43,14,964
Ipad Area,0,3,32,24,18,27,27,32,25,14,10,4,216
